	Фраза	Религия	Наркотики	Геи	Деньги	Сексизим	Расизм	Алкоголь	
	Все люди братья и сестры, сын мой! 	5	0	0	0	-5	-5	10	All men are brothers and sisters, my child
	В библии есть все ответы	10							Bible has all the answers
	Бог не одобряет геев! 			-10					God does not welcome gay
	Наркотики - это от Лукавого! 	5	-10						Drugs are Satan's work
	Не забудьте сделать пожертвование!				10				Don't forget to donate to church
	Не гоже бабе мужику перечить! 					10			A woman should not argue with the Man
	Бог любит прдставителей всех рас! 						-10		God loves people of all races
	Немного кагора никому не повредит! 							8	Red wine didn't ever hurt anyone
	Таким содомитам как ты место в аду!			-10					Sodomites like you should burn in hell
	Кажется, в писании такого не было	-4	-4	-4	-4	-4	-4	-4	I don't think there is a verse that would support that
	В писании такого точно не было!	-6	-6	-6	-6	-6	-6	-6	There isn't a single verse to support that
	Проклинаю вас всех! 	-10	-10	-10	-10	-10	-10	-10	Be damned. All of you!
	Поди найди себе мужа, а то живешь во грехе!					10			Find a husband, sinner!
	Крашеным бабам - прямая дорога в ад! 					10			Women who look like that should burn in hell
	Наркоманы - слуги дьявола!		-10						Drug addicts are satan's scum
	Наша вера самая правильная	10							Our God is the true one!
	Молитва не работает, если не сделать пожертвование!	10			10				An amen won't help you if you don't donate to church
	Вы все живете во грехе!	5	-10	-10	-5	5		-8	You all live in sin.
	Алкоголизм разрушает твою душу							-8	Alcohol corrupts your soul
	Твои проблемы от того, что твой народ верит не в того бога!						8		Your problems are all from the lack of faith
